Num Vectors,Num Dimensions,KD-Tree Build Time,Ball Tree Build Time,HNSW Build Time,KD-Tree Search Time,Ball Tree Search Time,Brute Force Search Time,HNSW Search Time
1000,4,0.00038504600524902344,0.0005519390106201172,0.008048772811889648,3.693103790283203e-05,5.4168701171875e-05,5.5789947509765625e-05,2.3293495178222657e-05
1000,16,0.0002589225769042969,0.00023865699768066406,0.00982975959777832,4.711151123046875e-05,5.145072937011719e-05,6.356239318847657e-05,3.4475326538085936e-05
1000,256,0.0008912086486816406,0.0018801689147949219,0.040467262268066406,0.00025680065155029295,0.0002385854721069336,0.0005040407180786133,0.0002830266952514648
1000,1024,0.0029020309448242188,0.009797811508178711,0.17290210723876953,0.000942230224609375,0.0010487794876098632,0.0020867586135864258,0.0011676549911499023
2000,4,0.0004761219024658203,0.0005891323089599609,0.015338897705078125,3.404617309570313e-05,4.382133483886719e-05,6.737709045410157e-05,1.9955635070800782e-05
2000,16,0.00044536590576171875,0.00039386749267578125,0.017082929611206055,6.732940673828124e-05,5.841255187988281e-05,9.331703186035156e-05,3.697872161865234e-05
2000,256,0.0018982887268066406,0.00442194938659668,0.10192179679870605,0.0005443572998046875,0.0004543781280517578,0.001072263717651367,0.0003578424453735352
2000,1024,0.0064618587493896484,0.029343128204345703,0.5648331642150879,0.0021424055099487304,0.002059602737426758,0.004653286933898926,0.001452803611755371
5000,4,0.0011241436004638672,0.0011680126190185547,0.029179096221923828,2.734661102294922e-05,4.875659942626953e-05,0.0001559734344482422,2.8181076049804688e-05
5000,16,0.0011730194091796875,0.0012009143829345703,0.03891396522521973,0.00011410713195800782,7.68423080444336e-05,0.00022869110107421876,4.200935363769531e-05
5000,256,0.00569605827331543,0.014899969100952148,0.3856968879699707,0.0017850875854492187,0.0011156082153320312,0.0029421329498291017,0.0005085468292236328
5000,1024,0.021209001541137695,0.09930896759033203,2.3022408485412598,0.00512087345123291,0.005508875846862793,0.012227129936218262,0.0017091989517211913
10000,4,0.002529144287109375,0.0025272369384765625,0.05330300331115723,3.321170806884766e-05,5.385875701904297e-05,0.000312042236328125,3.0088424682617188e-05
10000,16,0.0024781227111816406,0.002602815628051758,0.07633519172668457,0.0002138376235961914,0.00011649131774902344,0.0004683494567871094,4.839897155761719e-05
10000,256,0.011948823928833008,0.040122032165527344,1.0070006847381592,0.004209351539611816,0.0025830984115600584,0.005988359451293945,0.0005583763122558594
10000,1024,0.052150726318359375,0.25415468215942383,5.87419581413269,0.010410618782043458,0.011115503311157227,0.02387657165527344,0.001979517936706543
20000,4,0.00516510009765625,0.005404949188232422,0.0976717472076416,3.4332275390625e-05,5.362033843994141e-05,0.0005691289901733398,2.74658203125e-05
20000,16,0.005672931671142578,0.005806922912597656,0.152144193649292,0.0004748106002807617,0.0002658367156982422,0.000933527946472168,7.343292236328125e-05
20000,256,0.03263282775878906,0.10128021240234375,2.487468957901001,0.008212518692016602,0.006107330322265625,0.01111605167388916,0.0006768226623535157
20000,1024,0.11018204689025879,0.6233539581298828,14.03233289718628,0.02046065330505371,0.022116208076477052,0.04826517105102539,0.002126049995422363
50000,4,0.015237808227539062,0.014416933059692383,0.24423694610595703,4.253387451171875e-05,7.483959197998046e-05,0.0014318466186523438,3.743171691894531e-05
50000,16,0.016353845596313477,0.01769709587097168,0.4006972312927246,0.0018990516662597656,0.0009400844573974609,0.002333235740661621,9.546279907226562e-05
50000,256,0.10486030578613281,0.36072301864624023,7.700841188430786,0.025797581672668456,0.016728687286376952,0.030493927001953126,0.0007250070571899414
50000,1024,0.3710141181945801,2.03708815574646,41.17057418823242,0.06602752208709717,0.06033689975738525,0.12451803684234619,0.0025087594985961914
100000,4,0.0343470573425293,0.03363800048828125,0.5007150173187256,5.9485435485839844e-05,0.00010383129119873047,0.0031743764877319334,6.008148193359375e-05
100000,16,0.03735089302062988,0.04207801818847656,0.8680582046508789,0.0029725551605224608,0.002866530418395996,0.005316305160522461,0.0001383543014526367
100000,256,0.24198126792907715,0.870114803314209,17.34981894493103,0.05380401611328125,0.034132742881774904,0.0630568027496338,0.0008459329605102539
100000,1024,0.8370280265808105,4.9165778160095215,90.5271589756012,0.13240807056427,0.12786719799041749,0.25182950496673584,0.0024676084518432616
200000,4,0.07191872596740723,0.07226109504699707,1.0571889877319336,6.618499755859376e-05,0.00011954307556152343,0.005377674102783203,6.487369537353516e-05
200000,16,0.0843210220336914,0.11254215240478516,1.9974870681762695,0.005119729042053223,0.006554317474365234,0.010760092735290527,0.00023813247680664061
200000,256,0.5725882053375244,2.2169017791748047,38.58526587486267,0.11354243755340576,0.07111048698425293,0.1253162145614624,0.0008740425109863281
200000,1024,1.8661479949951172,12.13122010231018,191.0768141746521,0.299880313873291,0.2648355960845947,0.6280691623687744,0.008342885971069336
